# v_dc=-4.494976e-2  i_dc=-1.845323e-5  freq=2.154e-3
t_rel_fs,v,i,v_ac,i_ac,actual_i,actual_i_ac,v_cap,is_recording
8.8000e2,-3.089288e-2,6.084127e-2,1.405688e-2,6.085973e-2,0.000000e0,5.376344e-4,-3.611102e-4,0
8.8500e2,-3.642205e-2,5.533459e-2,8.527708e-3,5.535305e-2,0.000000e0,5.376344e-4,-3.611102e-4,0
8.9000e2,-4.172051e-2,4.957443e-2,3.229250e-3,4.959288e-2,0.000000e0,5.376344e-4,-3.611102e-4,0
8.9500e2,-2.771457e-2,4.358734e-2,1.723519e-2,4.360579e-2,2.000000e-1,2.005376e-1,-3.611102e-4,0
9.0000e2,-9.479263e-3,3.740055e-2,3.547050e-2,3.741901e-2,0.000000e0,5.376344e-4,-3.611102e-4,0
9.0500e2,-1.555236e-2,3.104259e-2,2.939740e-2,3.106104e-2,0.000000e0,5.376344e-4,-3.611102e-4,0
9.1000e2,-2.119522e-2,2.454248e-2,2.375454e-2,2.456093e-2,0.000000e0,5.376344e-4,-3.611102e-4,0
9.1500e2,-1.825480e-2,1.792988e-2,2.669496e-2,1.794833e-2,0.000000e0,5.376344e-4,-3.611102e-4,0
9.2000e2,-2.371113e-2,1.123527e-2,2.123863e-2,1.125372e-2,0.000000e0,5.376344e-4,-3.611102e-4,0
9.2500e2,-2.575738e-2,4.489118e-3,1.919238e-2,4.507571e-3,2.000000e-1,2.005376e-1,-3.611102e-4,0
9.3000e2,-1.810928e-2,-2.277498e-3,2.684048e-2,-2.259045e-3,0.000000e0,5.376344e-4,-3.611102e-4,0
9.3500e2,-1.963090e-2,-9.033686e-3,2.531886e-2,-9.015232e-3,0.000000e0,5.376344e-4,-3.611102e-4,0
9.4000e2,-1.957020e-2,-1.574860e-2,2.537956e-2,-1.573014e-2,0.000000e0,5.376344e-4,-3.611102e-4,0
9.4500e2,-1.554909e-2,-2.239130e-2,2.940067e-2,-2.237285e-2,0.000000e0,5.376344e-4,-3.611102e-4,0
9.5000e2,-1.371424e-2,-2.893147e-2,3.123552e-2,-2.891301e-2,0.000000e0,5.376344e-4,-3.611102e-4,0
9.5500e2,-1.488590e-2,-3.533923e-2,3.006386e-2,-3.532078e-2,0.000000e0,5.376344e-4,-3.611102e-4,0
9.6000e2,-1.069737e-2,-4.158508e-2,3.425239e-2,-4.156663e-2,0.000000e0,5.376344e-4,-3.611102e-4,0
9.6500e2,-1.027707e-3,-4.764059e-2,4.392205e-2,-4.762213e-2,-2.000000e-1,-1.994624e-1,-3.611102e-4,0
9.7000e2,-1.221343e-2,-5.347785e-2,3.273633e-2,-5.345940e-2,0.000000e0,5.376344e-4,-3.611102e-4,0
9.7500e2,-2.273070e-2,-5.907022e-2,2.221906e-2,-5.905177e-2,0.000000e0,5.376344e-4,-3.611102e-4,0
9.8000e2,-1.811175e-2,-6.439216e-2,2.683801e-2,-6.437371e-2,0.000000e0,5.376344e-4,-3.611102e-4,0
9.8500e2,-1.321911e-2,-6.941916e-2,3.173065e-2,-6.940071e-2,-2.000000e-1,-1.994624e-1,-3.611102e-4,0
9.9000e2,-2.384589e-2,-7.412834e-2,2.110387e-2,-7.410988e-2,0.000000e0,5.376344e-4,-3.611102e-4,0
9.9500e2,-2.300828e-2,-7.849798e-2,2.194148e-2,-7.847953e-2,-2.000000e-1,-1.994624e-1,-3.611102e-4,0
