target_ratio,sim_time,eta_a,eta_b,eta_avg,i_controller_a,i_controller_b,e_delta_a,e_delta_b
1.005,22800.0,0.009288,-0.008996,0.000146,-0.004000,0.074419,-1,1
1.005,22900.0,0.009231,-0.008929,0.000151,0.018745,-0.036428,0,0
1.005,23000.0,0.008863,-0.008902,-0.000020,0.041490,-0.058327,0,0
1.005,23100.0,0.011834,-0.011887,-0.000026,0.022879,-0.032814,1,-1
1.005,23200.0,0.011817,-0.011869,-0.000026,-0.013456,0.004575,0,0
1.005,23300.0,0.011817,-0.011869,-0.000026,-0.049791,0.041964,0,0
1.005,23400.0,0.008863,-0.008902,-0.000020,-0.032954,0.005168,-1,1
1.005,23500.0,0.008863,-0.008902,-0.000020,-0.010209,-0.016790,0,0
1.005,23600.0,0.006163,-0.005952,0.000106,0.012536,-0.038748,0,0
1.005,23700.0,0.026201,-0.011905,0.007148,-0.009029,0.022379,1,-1
1.005,23800.0,0.009245,-0.008929,0.000158,0.022578,-0.011448,-1,1
1.005,23900.0,0.009132,-0.008996,0.000068,0.045324,-0.033407,0,0
1.005,24000.0,0.009132,-0.012289,-0.001578,0.068069,0.021786,0,-1
1.005,24100.0,0.012384,-0.012251,0.000066,0.031734,0.059175,1,0
1.005,24200.0,0.012177,-0.009217,0.001480,-0.004601,0.037243,0,1
1.005,24300.0,0.012195,-0.013093,-0.000449,-0.040936,0.015285,0,0
1.005,24400.0,0.008889,-0.009063,-0.000087,-0.041823,-0.030342,-1,0
1.005,24500.0,0.009509,-0.009375,0.000067,-0.016121,-0.052300,1,0
1.005,24600.0,0.009390,-0.011869,-0.001240,0.036164,-0.074259,0,-1
1.005,24700.0,0.009217,-0.011958,-0.001371,0.058909,0.028439,0,0
1.005,24800.0,0.015504,-0.005944,0.004780,-0.057189,0.012415,2,1
1.005,24900.0,0.012403,-0.015456,-0.001526,-0.066936,-0.065370,-1,-2
1.005,25000.0,0.006299,-0.014837,-0.004269,-0.023510,0.090389,-2,0
1.005,25100.0,0.003110,-0.008902,-0.002896,0.143993,0.053594,-1,2
1.005,25200.0,0.012520,-0.005944,0.003288,0.069253,-0.054272,3,0
1.005,25300.0,0.012442,-0.008982,0.001730,-0.091101,-0.070313,1,0
1.005,25400.0,0.006182,-0.011869,-0.002843,0.002487,-0.032925,-3,-1
1.005,25500.0,0.006182,-0.011869,-0.002843,0.084317,0.004464,0,0
1.005,25600.0,0.009740,-0.012308,-0.001284,0.080474,0.041853,1,0
1.005,25700.0,0.016026,-0.011922,0.002052,-0.050395,0.079242,2,0
1.005,25800.0,0.012365,-0.009788,0.001288,-0.069005,-0.013933,-1,2
1.005,25900.0,0.009274,-0.006154,0.001560,-0.055122,-0.095239,-1,0
1.005,26000.0,0.009274,-0.008942,0.000166,-0.020560,-0.102360,0,-1
1.005,26100.0,0.009302,-0.015038,-0.002868,0.002186,-0.017408,0,-2
1.005,26200.0,0.009245,-0.012270,-0.001513,0.024931,0.031791,1,1
