[run_job] id=doe-cos-027
[run_job] workdir=/c/Users/Yeyian PC/Desktop/ParticleSim-master/ParticleSim/runs/doe-cos-027
[run_job] exe=/c/Users/Yeyian PC/Desktop/ParticleSim-master/ParticleSim/target/release/eis_quick_sweep.exe
[run_job] log=/c/Users/Yeyian PC/Desktop/ParticleSim-master/ParticleSim/doe_results/eis_doe_lf/doe-cos-027_amp1e-4_freq3e-7to1e-6_cos.log
[run_job] args: --amplitude 1e-4 --f-min 3e-7 --f-max 1e-6 --points-per-decade 4 --scenario /c/Users/Yeyian PC/Desktop/ParticleSim-master/ParticleSim/measurement_configs/eis_validation_flat_symmetric.toml
[run_job] start=2026-05-04T23:29:32Z
Successfully placed 86 random bodies
Successfully placed 86 random bodies
Successfully placed 598 random bodies
Successfully placed 599 random bodies
scenario=C:/Users/Yeyian PC/Desktop/ParticleSim-master/ParticleSim/measurement_configs/eis_validation_flat_symmetric.toml seed=0xC0FFEE
bodies=3449 foils=2
dt=5 fs  group_a=[1]  group_b=[2]
equilibrating 50000 fs (10000 steps)
zero-current pre-hold 10000 fs (2000 steps)
[EIS] Started sweep (Galvanostatic): 4 frequencies from 1.00e-6 to 3.00e-7 (1/fs)
[EIS] freq 1/4 (1.00e-6 1/fs) phase=Recording elapsed=4950005fs/8000000fs cycles=4.95 samples=190000 V=2.0779e-2 I=-9.5107e-5
[EIS] freq 1/4 (1.00e-6 1/fs) phase=Recording elapsed=5000005fs/8000000fs cycles=5.00 samples=200000 V=3.1535e-3 I=-1.0000e-4
[EIS] freq 1/4 (1.00e-6 1/fs) phase=Recording elapsed=5050005fs/8000000fs cycles=5.05 samples=210000 V=-1.5653e-2 I=-9.5105e-5
[EIS] freq 1/4 (1.00e-6 1/fs) phase=Recording elapsed=5100005fs/8000000fs cycles=5.10 samples=220000 V=-2.6402e-2 I=-8.0900e-5
[EIS] freq 1/4 (1.00e-6 1/fs) phase=Recording elapsed=5150005fs/8000000fs cycles=5.15 samples=230000 V=-4.5405e-2 I=-5.8776e-5
[EIS] freq 1/4 (1.00e-6 1/fs) phase=Recording elapsed=5200005fs/8000000fs cycles=5.20 samples=240000 V=-4.8388e-2 I=-3.0899e-5
[EIS] freq 1/4 (1.00e-6 1/fs) phase=Recording elapsed=5250005fs/8000000fs cycles=5.25 samples=250000 V=-4.1021e-2 I=3.2508e-9
[EIS] freq 1/4 (1.00e-6 1/fs) phase=Recording elapsed=5300005fs/8000000fs cycles=5.30 samples=260000 V=-4.5032e-2 I=3.0905e-5
[EIS] freq 1/4 (1.00e-6 1/fs) phase=Recording elapsed=5350005fs/8000000fs cycles=5.35 samples=270000 V=-3.9508e-2 I=5.8781e-5
[EIS] freq 1/4 (1.00e-6 1/fs) phase=Recording elapsed=5400005fs/8000000fs cycles=5.40 samples=280000 V=-2.4721e-2 I=8.0904e-5
