target_ratio,sim_time,eta_a,eta_b,eta_avg,i_controller_a,i_controller_b,e_delta_a,e_delta_b
1.005,21600.0,0.009404,-0.013072,-0.001834,-0.113789,-0.013563,-1,0
1.005,21700.0,0.006299,-0.012598,-0.003150,-0.005235,-0.027723,-1,0
1.005,21800.0,0.006221,-0.012618,-0.003199,0.076771,-0.050732,0,0
1.005,21900.0,0.012638,-0.009615,0.001511,0.067332,-0.073742,2,0
1.005,22000.0,0.015798,-0.018154,-0.001178,-0.042403,-0.002355,1,-2
1.005,22100.0,0.012779,-0.019262,-0.003241,-0.069541,0.092631,-1,0
1.005,22200.0,0.012384,-0.012012,0.000186,-0.105527,0.128620,0,2
1.005,22300.0,0.006192,-0.009023,-0.001415,0.005976,0.008264,-2,1
1.005,22400.0,0.006231,-0.009063,-0.001416,0.087983,-0.073742,0,0
1.005,22500.0,0.012618,-0.013180,-0.000281,0.066745,-0.108551,2,-1
1.005,22600.0,0.012520,-0.024096,-0.005788,0.030758,-0.054597,0,-2
1.005,22700.0,0.012945,-0.019835,-0.003445,-0.005229,-0.030094,0,0
1.005,22800.0,0.012698,-0.016667,-0.001984,-0.008710,0.003281,-1,1
1.005,22900.0,0.009494,-0.013136,-0.001821,0.014239,-0.010735,0,0
1.005,23000.0,0.009615,-0.012158,-0.001271,0.037246,0.001701,0,0
1.005,23100.0,0.009346,-0.015625,-0.003140,0.060253,0.058306,0,0
1.005,23200.0,0.018127,-0.012048,0.003039,0.015417,0.058896,1,1
1.005,23300.0,0.012442,-0.009023,0.001710,-0.020570,-0.020160,0,1
1.005,23400.0,0.009404,-0.015060,-0.002828,-0.056556,-0.022461,-1,-2
1.005,23500.0,0.006211,-0.015038,-0.004413,0.081497,0.007596,-1,0
1.005,23600.0,0.012422,-0.012066,0.000178,0.007162,0.008186,2,1
1.005,23700.0,0.012403,-0.015337,-0.001467,-0.028825,0.011802,0,-1
1.005,23800.0,0.012422,-0.015576,-0.001577,-0.064812,0.041859,0,0
1.005,23900.0,0.009302,-0.012048,-0.001373,-0.015257,-0.025339,-1,1
1.005,24000.0,0.009360,-0.015106,-0.002873,0.007750,-0.001027,0,-1
1.005,24100.0,0.009317,-0.015083,-0.002883,0.030758,0.034963,0,0
1.005,24200.0,0.009390,-0.020443,-0.005527,0.053765,0.053390,0,0
1.005,24300.0,0.009449,-0.012559,-0.001555,0.000080,0.003771,1,1
1.005,24400.0,0.012599,-0.012480,0.000059,-0.012309,-0.019238,0,0
1.005,24500.0,0.012442,-0.012500,-0.000029,-0.048296,-0.042248,0,0
1.005,24600.0,0.009662,-0.017271,-0.003805,-0.004641,0.002591,-1,-1
1.005,24700.0,0.012461,-0.015625,-0.001582,-0.019980,0.038580,1,0
1.005,24800.0,0.026316,-0.012140,0.007088,-0.055967,0.021470,0,1
1.005,24900.0,0.009554,-0.012579,-0.001512,-0.006412,-0.001539,-1,0
1.005,25000.0,0.009585,-0.014652,-0.002534,0.016596,-0.030431,0,0
1.005,25100.0,0.012698,-0.013817,-0.000559,-0.016442,-0.053441,1,0
1.005,25200.0,0.012800,-0.019108,-0.003154,-0.052428,-0.002702,0,-1
1.005,25300.0,0.009375,-0.015038,-0.002831,-0.017622,-0.002112,-1,1
1.005,25400.0,0.009509,-0.012066,-0.001279,0.005385,-0.025122,0,0
1.005,25500.0,0.012739,-0.012030,0.000354,-0.027652,-0.048132,1,0
1.005,25600.0,0.012779,-0.015060,-0.001140,-0.063639,0.011457,0,-1
1.005,25700.0,0.009569,-0.018692,-0.004561,-0.034732,0.047446,-1,0
1.005,25800.0,0.012461,-0.013889,-0.000714,-0.011725,0.009763,0,1
1.005,25900.0,0.009434,-0.012048,-0.001307,0.011283,-0.013305,0,0
1.005,26000.0,0.017544,-0.017123,0.000210,0.034290,0.028584,0,-1
1.005,26100.0,0.018349,-0.017123,0.000613,0.010102,0.064573,1,0
1.005,26200.0,0.012461,-0.012103,0.000179,-0.025885,0.100562,0,0
1.005,26300.0,0.009600,-0.009375,0.000112,0.005972,0.051003,-1,1
1.005,26400.0,0.009404,-0.009434,-0.000015,0.028979,0.027993,0,0
1.005,26500.0,0.009317,-0.012030,-0.001357,0.051986,0.004984,0,0
1.005,26600.0,0.012638,-0.015060,-0.001211,0.016000,0.029173,1,-1
1.005,26700.0,0.012442,-0.012520,-0.000039,-0.019987,0.015013,0,1
1.005,26800.0,0.009375,-0.006070,0.001653,0.014819,-0.066766,-1,0
1.005,26900.0,0.012442,-0.009274,0.001584,-0.012378,-0.101514,1,0
1.005,27000.0,0.009464,-0.012121,-0.001329,-0.007010,-0.062575,-1,-1
1.005,27100.0,0.009317,-0.013029,-0.001856,0.015998,-0.026586,0,0
1.005,27200.0,0.006270,-0.012030,-0.002880,0.039005,0.009404,0,0
1.005,27300.0,0.024615,-0.012739,0.005938,-0.011733,0.045393,2,0
1.005,27400.0,0.012559,-0.009050,0.001755,-0.050670,0.001733,-1,1
1.005,27500.0,0.009724,-0.009934,-0.000105,-0.051260,-0.021276,-1,0
1.005,27600.0,0.009419,-0.009077,0.000171,0.021896,-0.020687,0,0
1.005,27700.0,0.006339,-0.015038,-0.004349,0.044904,0.038902,0,-1
1.005,27800.0,0.009539,-0.012177,-0.001319,0.026615,0.018843,1,1
1.005,27900.0,0.012422,-0.012030,0.000196,-0.009372,-0.004167,0,0
1.005,28000.0,0.009600,-0.012841,-0.001621,-0.045359,-0.027177,0,0
1.005,28100.0,0.012442,-0.012066,0.000188,-0.081346,-0.008887,0,0
1.005,28200.0,0.009317,-0.011976,-0.001330,-0.034741,-0.031897,-1,0
1.005,28300.0,0.009390,-0.012140,-0.001375,0.032457,-0.054907,0,0
1.005,28400.0,0.008065,-0.013937,-0.002936,-0.009370,-0.077917,1,0
1.005,28500.0,0.010118,-0.019078,-0.004480,-0.045357,0.046569,0,-2
1.005,28600.0,0.008772,-0.017964,-0.004596,-0.016450,0.141554,-1,0
1.005,28700.0,0.009360,-0.012177,-0.001408,0.006557,0.100845,0,2
1.005,28800.0,0.009360,-0.012121,-0.001380,0.029564,0.077836,0,0
1.005,28900.0,0.012480,-0.009585,0.001448,0.005376,-0.030719,1,1
1.005,29000.0,0.012461,-0.009036,0.001712,-0.030611,-0.112726,0,0
1.005,29100.0,0.012520,-0.012251,0.000134,-0.066597,-0.047238,0,-2
1.005,29200.0,0.006231,-0.015038,-0.004403,-0.034679,-0.017122,-2,0
1.005,29300.0,0.003165,-0.019967,-0.008401,0.047268,0.018867,0,0
1.005,29400.0,0.009317,-0.012658,-0.001671,0.129275,0.054856,1,0
1.005,29500.0,0.012121,-0.012030,0.000046,0.063788,-0.006501,1,2
1.005,29600.0,0.015798,-0.015129,0.000335,-0.057747,-0.014760,1,-2
1.005,29700.0,0.006289,-0.015106,-0.004408,-0.025889,0.021229,-2,0
1.005,29800.0,0.009585,-0.011958,-0.001187,-0.002881,0.004119,0,1
1.005,29900.0,0.012599,-0.009868,0.001365,-0.024120,-0.018891,1,0
1.005,30000.0,0.012520,-0.012384,0.000068,-0.060107,-0.041900,0,0
1.005,30100.0,0.017544,-0.009709,0.003918,-0.096093,-0.064910,0,0
1.005,30200.0,0.006410,-0.017964,-0.005777,-0.002348,0.059575,-1,-2
1.005,30300.0,0.006329,-0.011958,-0.002815,0.020718,-0.004733,0,2
1.005,30400.0,0.009464,-0.015015,-0.002776,0.043726,0.022406,0,-1
1.005,30500.0,0.009331,-0.018045,-0.004357,0.066733,0.058396,0,0
1.005,30600.0,0.006319,-0.019449,-0.006565,0.089741,0.056003,0,1
