phase,pulse_num,sim_time,eta_a,eta_b,e_delta_a,e_delta_b
rest,1,49100.0,-0.057839,-0.045455,0,0
rest,1,49200.0,-0.059259,-0.054927,0,0
rest,1,49300.0,-0.061224,-0.053375,0,0
rest,1,49400.0,-0.060781,-0.053375,0,0
rest,1,49500.0,-0.086124,-0.061538,0,0
rest,1,49600.0,-0.060976,-0.042834,0,0
rest,1,49700.0,-0.085106,-0.061856,0,0
rest,1,49800.0,-0.063954,-0.047761,0,0
rest,1,49900.0,-0.066282,-0.047690,0,0
rest,1,50000.0,-0.065868,-0.047096,0,0
rest,1,50100.0,-0.066142,-0.045455,0,0
rest,1,50200.0,-0.062874,-0.051037,0,0
rest,1,50300.0,-0.058394,-0.050314,0,0
rest,1,50400.0,-0.058252,-0.060914,0,0
rest,1,50500.0,-0.072816,-0.031579,0,0
rest,1,50600.0,-0.060241,-0.053459,0,0
rest,1,50700.0,-0.060060,-0.051051,0,0
rest,1,50800.0,-0.057720,-0.047904,0,0
rest,1,50900.0,-0.062593,-0.048120,0,0
rest,1,51000.0,-0.061493,-0.044444,0,0
rest,1,51100.0,-0.059791,-0.048338,0,0
rest,1,51200.0,-0.061224,-0.053097,0,0
rest,1,51300.0,-0.060302,-0.049645,0,0
rest,1,51400.0,-0.057229,-0.051200,0,0
rest,1,51500.0,-0.055882,-0.050520,0,0
rest,1,51600.0,-0.062593,-0.047847,0,0
rest,1,51700.0,-0.059613,-0.044025,0,0
rest,1,51800.0,-0.060432,-0.049927,0,0
rest,1,51900.0,-0.055233,-0.053097,0,0
rest,1,52000.0,-0.057637,-0.049927,0,0
rest,1,52100.0,-0.060958,-0.050296,0,0
rest,1,52200.0,-0.052402,-0.048048,0,0
rest,1,52300.0,-0.058064,-0.045902,0,0
rest,1,52400.0,-0.061493,-0.039816,0,0
rest,1,52500.0,-0.064171,-0.046595,0,0
rest,1,52600.0,-0.064412,-0.049342,0,0
rest,1,52700.0,-0.056886,-0.044643,0,0
rest,1,52800.0,-0.052709,-0.051051,0,0
rest,1,52900.0,-0.051205,-0.056962,0,0
rest,1,53000.0,-0.057637,-0.050370,0,0
rest,1,53100.0,-0.058394,-0.051051,0,0
