phase,pulse_num,sim_time,eta_a,eta_b,e_delta_a,e_delta_b
rest,1,34200.0,-0.071556,-0.077058,0,0
rest,1,34300.0,-0.068643,-0.066773,0,0
rest,1,34400.0,-0.067093,-0.074488,0,0
rest,1,34500.0,-0.073365,-0.071130,0,0
rest,1,34600.0,-0.075472,-0.073077,0,0
rest,1,34700.0,-0.068657,-0.069182,0,0
rest,1,34800.0,-0.070444,-0.058462,0,0
rest,1,34900.0,-0.069510,-0.061728,0,0
rest,1,35000.0,-0.068536,-0.057057,0,0
rest,1,35100.0,-0.061633,-0.065868,0,0
rest,1,35200.0,-0.059880,-0.069277,0,0
rest,1,35300.0,-0.083333,-0.086957,0,0
rest,1,35400.0,-0.067542,-0.145251,0,0
rest,1,35500.0,-0.062874,-0.064422,0,0
rest,1,35600.0,-0.064516,-0.067251,0,0
rest,1,35700.0,-0.063830,-0.067449,0,0
rest,1,35800.0,-0.054888,-0.065831,0,0
rest,1,35900.0,-0.063910,-0.072327,0,0
rest,1,36000.0,-0.057839,-0.067449,0,0
rest,1,36100.0,-0.063018,-0.061290,0,0
rest,1,36200.0,-0.061688,-0.126984,0,0
rest,1,36300.0,-0.064189,-0.071186,0,0
rest,1,36400.0,-0.062687,-0.060514,0,0
rest,1,36500.0,-0.061584,-0.061314,0,0
rest,1,36600.0,-0.062687,-0.065967,0,0
rest,1,36700.0,-0.065217,-0.066566,0,0
rest,1,36800.0,-0.064024,-0.065672,0,0
rest,1,36900.0,-0.061584,-0.061765,0,0
rest,1,37000.0,-0.062687,-0.062407,0,0
rest,1,37100.0,-0.062687,-0.063158,0,0
rest,1,37200.0,-0.069652,-0.075085,0,0
rest,1,37300.0,-0.072917,-0.068493,0,0
rest,1,37400.0,-0.063092,-0.064516,0,0
rest,1,37500.0,-0.062780,-0.065282,0,0
rest,1,37600.0,-0.069204,-0.076389,0,0
rest,1,37700.0,-0.063694,-0.067524,0,0
rest,1,37800.0,-0.072727,-0.126437,0,0
rest,1,37900.0,-0.062500,-0.066465,0,0
rest,1,38000.0,-0.077626,-0.145251,0,0
rest,1,38100.0,-0.062696,-0.073333,0,0
rest,1,38200.0,-0.065015,-0.060897,0,0
rest,1,38300.0,-0.078067,-0.078652,0,0
rest,1,38400.0,-0.059791,-0.064220,0,0
rest,1,38500.0,-0.063758,-0.122222,0,0
rest,1,38600.0,-0.063545,-0.122222,0,0
rest,1,38700.0,-0.065359,-0.073922,0,0
rest,1,38800.0,-0.065466,-0.062500,0,0
rest,1,38900.0,-0.062593,-0.059748,0,0
rest,1,39000.0,-0.059791,-0.064122,0,0
rest,1,39100.0,-0.062315,-0.066038,0,0
rest,1,39200.0,-0.058372,-0.055046,0,0
rest,1,39300.0,-0.062500,-0.064220,0,0
rest,1,39400.0,-0.063092,-0.064412,0,0
rest,1,39500.0,-0.065319,-0.073090,0,0
rest,1,39600.0,-0.066667,-0.069767,0,0
rest,1,39700.0,-0.050000,-0.091954,0,0
rest,1,39800.0,-0.067864,-0.066298,0,0
rest,1,39900.0,-0.056716,-0.060514,0,0
rest,1,40000.0,-0.059880,-0.051515,0,0
rest,1,40100.0,-0.070423,-0.060000,0,0
rest,1,40200.0,-0.068071,-0.060995,0,0
rest,1,40300.0,-0.059524,-0.065116,0,0
rest,1,40400.0,-0.062696,-0.067176,0,0
rest,1,40500.0,-0.057600,-0.065898,0,0
rest,1,40600.0,-0.062315,-0.064615,0,0
rest,1,40700.0,-0.065000,-0.080000,0,0
rest,1,40800.0,-0.064205,-0.060150,0,0
rest,1,40900.0,-0.058193,-0.064815,0,0
rest,1,41000.0,-0.059347,-0.059970,0,0
rest,1,41100.0,-0.062315,-0.060800,0,0
rest,1,41200.0,-0.064615,-0.067340,0,0
rest,1,41300.0,-0.057971,-0.040201,0,0
rest,1,41400.0,-0.059084,-0.057927,0,0
rest,1,41500.0,-0.062603,-0.050314,0,0
rest,1,41600.0,-0.061919,-0.058027,0,0
rest,1,41700.0,-0.062407,-0.062091,0,0
rest,1,41800.0,-0.057057,-0.063439,0,0
rest,1,41900.0,-0.056213,-0.065831,0,0
rest,1,42000.0,-0.057402,-0.061538,0,0
rest,1,42100.0,-0.066372,-0.120879,0,0
rest,1,42200.0,-0.058733,-0.116402,0,0
rest,1,42300.0,-0.071301,-0.098361,0,0
rest,1,42400.0,-0.058824,-0.057692,0,0
rest,1,42500.0,-0.086758,-0.127168,0,0
rest,1,42600.0,-0.066929,-0.092025,0,0
rest,1,42700.0,-0.064815,-0.063018,0,0
rest,1,42800.0,-0.060790,-0.064407,0,0
rest,1,42900.0,-0.055130,-0.066007,0,0
rest,1,43000.0,-0.055965,-0.062130,0,0
rest,1,43100.0,-0.059084,-0.060150,0,0
rest,1,43200.0,-0.062696,-0.068729,0,0
rest,1,43300.0,-0.066986,-0.064407,0,0
rest,1,43400.0,-0.067308,-0.072243,0,0
rest,1,43500.0,-0.067692,-0.062893,0,0
rest,1,43600.0,-0.059375,-0.067114,0,0
rest,1,43700.0,-0.057927,-0.066406,0,0
rest,1,43800.0,-0.061290,-0.098361,0,0
rest,1,43900.0,-0.063830,-0.057839,0,0
rest,1,44000.0,-0.061674,-0.062130,0,0
rest,1,44100.0,-0.053254,-0.064815,0,0
rest,1,44200.0,-0.058347,-0.130000,0,0
rest,1,44300.0,-0.059937,-0.067797,0,0
rest,1,44400.0,-0.056296,-0.066986,0,0
rest,1,44500.0,-0.058910,-0.059172,0,0
rest,1,44600.0,-0.058997,-0.062222,0,0
rest,1,44700.0,-0.056380,-0.062780,0,0
